RingDiam_fresh_water,RingDiam_salt_water,Canadian_0_Alaskan_1
112,394,0
108,368,0
105,469,0
79,432,0
86,506,0
99,402,0
87,423,0
94,440,0
117,489,0
99,403,0
114,428,0
109,420,0
104,407,0
111,422,0
105,434,0
119,474,0
114,396,0
100,470,0
84,399,0
102,429,0
101,469,0
85,444,0
109,397,0
106,442,0
82,431,0
118,381,0
105,388,0
85,451,0
83,453,0
53,427,0
95,411,0
76,442,0
95,426,0
87,402,0
70,397,0
84,511,0
91,469,0
74,451,0
101,474,0
80,398,0
95,433,0
92,404,0
99,481,0
94,491,0
87,480,0
148,371,1
179,407,1
152,381,1
166,377,1
124,389,1
156,419,1
131,345,1
140,362,1
144,345,1
149,393,1
108,330,1
135,355,1
170,386,1
152,301,1
153,397,1
152,301,1
136,438,1
122,306,1
148,383,1
145,337,1
123,364,1
145,376,1
115,354,1
134,383,1
117,355,1
126,345,1
118,379,1
120,369,1
153,403,1
150,354,1
154,390,1
155,349,1
117,344,1
128,400,1
144,403,1
163,370,1
145,355,1
133,375,1
128,383,1
123,349,1
144,373,1
140,388,1
150,339,1
124,341,1
125,346,1
153,352,1
129,420,1
